heuristic,algorithm,n,solved,real_avg,h_avg,diff_std,diff_max,over_rate,cost_avg,subopt_avg,exp_avg,gen_avg,time_avg,h_frac
"classifier(temperature=1.5,threshold=0.2)",wastar(w=10.0),1000,1000,45.324,43.67,1.6610367374152335,4.0,0.049,50.96,1.1216137441026783,60.883,199.434,0.058911200000000004,0.8259108624506036
"classifier(temperature=1.5,threshold=0.2)",wastar(w=2.0),1000,1000,45.324,43.67,1.6610367374152335,4.0,0.049,49.744,1.0951705655377943,64.161,209.867,0.062441900000000106,0.8263697933599049
"classifier(temperature=1.5,threshold=0.2)",wastar(w=5.0),1000,1000,45.324,43.67,1.6610367374152335,4.0,0.049,50.9,1.120293403091033,60.931,199.587,0.05912130000000005,0.8261404942042881
"classifier(temperature=1.5,threshold=0.3)",gbfs,1000,1000,45.324,44.288,1.6350465979223276,4.0,0.098,53.914,1.1854334994647098,60.715,199.268,0.059035000000000094,0.8257643770644517
"classifier(temperature=1.5,threshold=0.3)",idastar(w=1.0),1000,1000,45.324,44.288,1.6350465979223276,4.0,0.098,46.346,1.0221824376262634,451.316,1013.915,0.2844801000000002,0.963146807105312
"classifier(temperature=1.5,threshold=0.3)",wastar(w=1.0),1000,1000,45.324,44.288,1.6350465979223276,4.0,0.098,46.066,1.0159542145896352,224.528,727.749,0.21461080000000016,0.8222820100386363
"classifier(temperature=1.5,threshold=0.3)",wastar(w=10.0),1000,1000,45.324,44.288,1.6350465979223276,4.0,0.098,51.256,1.1274484283141952,61.166,200.362,0.059725199999999944,0.8263295895200018
"classifier(temperature=1.5,threshold=0.3)",wastar(w=2.0),1000,1000,45.324,44.288,1.6350465979223276,4.0,0.098,49.838,1.097007539565847,63.719,208.446,0.06243729999999994,0.8265780230727489
"classifier(temperature=1.5,threshold=0.3)",wastar(w=5.0),1000,1000,45.324,44.288,1.6350465979223276,4.0,0.098,51.234,1.126947346063113,61.211,200.508,0.059887399999999875,0.8265277838076136
"classifier(temperature=1.5,threshold=0.4)",gbfs,1000,1000,45.324,44.836,1.63601116516133,6.0,0.162,53.81,1.1826447361885417,60.377,198.245,0.0560713999999999,0.8255509939113358
"classifier(temperature=1.5,threshold=0.4)",idastar(w=1.0),1000,1000,45.324,44.836,1.63601116516133,6.0,0.162,46.546,1.0266372359877787,333.173,751.204,0.22178990000000004,0.9636124097625725
"classifier(temperature=1.5,threshold=0.4)",wastar(w=1.0),1000,1000,45.324,44.836,1.63601116516133,6.0,0.162,46.13,1.0174325141802933,188.302,611.271,0.1777061000000003,0.8211344461445037
"classifier(temperature=1.5,threshold=0.4)",wastar(w=10.0),1000,1000,45.324,44.836,1.63601116516133,6.0,0.162,51.036,1.1230796777677077,60.621,198.938,0.05891410000000001,0.8255069669230275
"classifier(temperature=1.5,threshold=0.4)",wastar(w=2.0),1000,1000,45.324,44.836,1.63601116516133,6.0,0.162,49.63,1.0924485487335134,62.864,206.046,0.06147829999999991,0.8254180743449305
"classifier(temperature=1.5,threshold=0.4)",wastar(w=5.0),1000,1000,45.324,44.836,1.63601116516133,6.0,0.162,50.988,1.1219860937201762,60.622,198.93,0.05920319999999995,0.8255229447056929
"classifier(temperature=1.5,threshold=0.5)",gbfs,1000,1000,45.324,45.226,1.6361763575706236,6.0,0.228,53.534,1.1769969243856973,59.881,196.397,0.04827679999999993,0.8259225963609867
"classifier(temperature=1.5,threshold=0.5)",idastar(w=1.0),1000,1000,45.324,45.226,1.6361763575706236,6.0,0.228,46.806,1.032551339390035,278.816,629.908,0.18399649999999995,0.9637797458103827
"classifier(temperature=1.5,threshold=0.5)",wastar(w=1.0),1000,1000,45.324,45.226,1.6361763575706236,6.0,0.228,46.286,1.0209625095180848,162.582,528.905,0.14617580000000008,0.8228673966552607
"classifier(temperature=1.5,threshold=0.5)",wastar(w=10.0),1000,1000,45.324,45.226,1.6361763575706236,6.0,0.228,50.906,1.1204697851952672,60.274,197.714,0.04914219999999989,0.8260924419338178
"classifier(temperature=1.5,threshold=0.5)",wastar(w=2.0),1000,1000,45.324,45.226,1.6361763575706236,6.0,0.228,49.836,1.097264211022684,62.993,206.369,0.05758450000000001,0.8261615538903704
"classifier(temperature=1.5,threshold=0.5)",wastar(w=5.0),1000,1000,45.324,45.226,1.6361763575706236,6.0,0.228,50.878,1.1198534481989304,60.275,197.722,0.052398899999999984,0.8262539862478034
"classifier(temperature=2.0,threshold=0.2)",gbfs,1000,1000,45.324,43.358,1.6460721592790375,4.0,0.033,54.162,1.1916447442888494,61.234,200.801,0.043783299999999935,0.8278772956812304
"classifier(temperature=2.0,threshold=0.2)",idastar(w=1.0),1000,1000,45.324,43.358,1.6460721592790375,4.0,0.033,46.046,1.0156035748534535,799.124,1789.725,0.39441320000000024,0.96109714380756
"classifier(temperature=2.0,threshold=0.2)",wastar(w=1.0),1000,1000,45.324,43.358,1.6460721592790375,4.0,0.033,45.752,1.0090775329365698,310.264,1001.013,0.24952419999999997,0.8237974513093324
"classifier(temperature=2.0,threshold=0.2)",wastar(w=10.0),1000,1000,45.324,43.358,1.6460721592790375,4.0,0.033,51.132,1.1254649970333643,61.36,201.111,0.043652399999999966,0.8277803740458717
